id_left,id_right,Sz,Sp,Sm
0 	 40 	 (-0.000000000000005,-0.000000000000001) 	 (0.004894313088952,0.000343126384274) 	 (0.000000000000001,-0.000000000000001)
0 	 41 	 (-0.000000000000005,0.000000000000001) 	 (0.004894313088952,-0.000343126384274) 	 (0.000000000000001,0.000000000000001)
0 	 42 	 (-0.000446494690219,0.003440444833992) 	 (0.000000000000001,0.000000000000008) 	 (-0.000000000000037,-0.000000000000011)
0 	 43 	 (-0.000446494690219,-0.003440444833992) 	 (0.000000000000001,-0.000000000000008) 	 (-0.000000000000037,0.000000000000011)
0 	 44 	 (-0.000000000000001,-0.000000000000005) 	 (0.000000000000000,0.000000000000001) 	 (0.001789473829128,-0.004568349783361)
0 	 45 	 (-0.000000000000001,0.000000000000005) 	 (0.000000000000000,-0.000000000000001) 	 (0.001789473829128,0.004568349783361)
0 	 46 	 (-0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000)
0 	 47 	 (-0.000000000000000,-0.000000000000000) 	 (-0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000)
0 	 48 	 (-0.000000000000000,0.000000000000000) 	 (-0.000000000000000,-0.000000000000000) 	 (0.000000000000000,-0.000000000000000)
0 	 49 	 (-0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000)
0 	 50 	 (-0.000000000000000,-0.000000000000000) 	 (-0.000000000000000,-0.000000000000000) 	 (-0.000000000000000,-0.000000000000000)
0 	 51 	 (0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000)
0 	 52 	 (0.000000000000000,-0.000000000000000) 	 (-0.000000000000000,-0.000000000000000) 	 (0.000000000000000,-0.000000000000000)
0 	 53 	 (0.000000000000000,-0.000000000000000) 	 (0.000000000000000,-0.000000000000000) 	 (-0.000000000000000,-0.000000000000000)
0 	 54 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000)
0 	 55 	 (-0.000000000000000,-0.000000000000000) 	 (-0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000)
0 	 56 	 (-0.000000000000000,0.000000000000000) 	 (-0.000000000000000,-0.000000000000000) 	 (0.000000000000000,-0.000000000000000)
0 	 57 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000)
0 	 58 	 (-0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000)
0 	 59 	 (0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000)
0 	 60 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000)
0 	 61 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000)
0 	 62 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000)
0 	 63 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000)
1 	 0 	 (-0.000000000000020,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (0.495598174574826,0.000000000000000)
1 	 1 	 (-0.166666666666667,0.000000000000000) 	 (-0.000000000000013,0.000000000000000) 	 (-0.000000000000013,0.000000000000000)
1 	 2 	 (-0.000000000000009,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (0.235702260395516,0.000000000000000)
1 	 3 	 (0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000) 	 (0.000000000000049,0.000000000000000)
1 	 4 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000)
1 	 5 	 (0.000149653148565,-0.216678071267426) 	 (-0.000000000000000,-0.000000000000017) 	 (-0.000000000000453,-0.000000000000172)
1 	 6 	 (0.000149653148565,0.216678071267426) 	 (-0.000000000000000,0.000000000000017) 	 (-0.000000000000453,0.000000000000172)
1 	 7 	 (-0.000000000000248,0.000000000000250) 	 (-0.000000000000000,0.000000000000000) 	 (-0.129715465942738,-0.277619732410597)
1 	 8 	 (-0.000000000000248,-0.000000000000250) 	 (-0.000000000000000,-0.000000000000000) 	 (-0.129715465942738,0.277619732410597)
1 	 9 	 (0.000000000000013,0.000000000000001) 	 (0.000000000000000,0.000000000000000) 	 (-0.000000000000262,0.000000000000020)
1 	 10 	 (0.000000000000013,-0.000000000000001) 	 (0.000000000000000,-0.000000000000000) 	 (-0.000000000000262,-0.000000000000020)
1 	 11 	 (-0.144329538623195,-0.001522371225749) 	 (-0.000000000000012,-0.000000000000000) 	 (0.000000000000032,-0.000000000000205)
1 	 12 	 (-0.144329538623195,0.001522371225749) 	 (-0.000000000000012,0.000000000000000) 	 (0.000000000000032,0.000000000000205)
1 	 13 	 (0.000000000000070,-0.000000000000082) 	 (-0.000000000000000,-0.000000000000000) 	 (0.178217739985176,0.099524388072686)
